10:06:14.334 INFO    thonny: Thonny version: 4.0.1
10:06:14.335 INFO    thonny: cwd: /usr/lib/python3/dist-packages
10:06:14.349 INFO    thonny: original argv: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/cansat-stu/motor']
10:06:14.350 INFO    thonny: sys.executable: /usr/bin/python3
10:06:14.350 INFO    thonny: sys.argv: ['/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/cansat-stu/motor']
10:06:14.350 INFO    thonny: sys.path: ['/usr/lib/python3/dist-packages', '/usr/lib/python39.zip', '/usr/lib/python3.9', '/usr/lib/python3.9/lib-dynload', '/home/cansat-stu/.local/lib/python3.9/site-packages', '/usr/local/lib/python3.9/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.9/dist-packages']
10:06:14.350 INFO    thonny: sys.flags: sys.flags(debug=0, inspect=0, interactive=0, optimize=0, dont_write_bytecode=1, no_user_site=0, no_site=0, ignore_environment=0, verbose=0, bytes_warning=0, quiet=0, hash_randomization=1, isolated=0, dev_mode=False, utf8_mode=0)
10:06:14.352 INFO    thonny: TIME/MODS 0.021 Before constructing backend (+7 modules)
10:06:14.352 INFO    thonny: NEW MODS ['_ctypes', '_struct', 'ctypes', 'ctypes._endian', 'encodings.ascii', 'faulthandler', 'struct']
10:06:14.352 INFO    thonny: TIME/MODS 0.001 Before MainBackend 
10:06:14.353 INFO    thonny: TIME/MODS 0.000 After MainBackend 
10:06:14.393 INFO    thonny.backend: Loading plugins
10:06:14.393 INFO    thonny: TIME/MODS 0.040 Before loading plugins (+4 modules)
10:06:14.393 INFO    thonny: NEW MODS ['_sysconfigdata__arm-linux-gnueabihf', 'platform', 'pydoc', 'sysconfig']
10:06:14.394 INFO    thonny.common: Using THONNY_FRONTEND_SYS_PATH ['/usr/bin', '/usr/lib/python39.zip', '/usr/lib/python3.9', '/usr/lib/python3.9/lib-dynload', '/home/cansat-stu/.local/lib/python3.9/site-packages', '/usr/local/lib/python3.9/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.9/dist-packages', '/home/cansat-stu/.config/Thonny/plugins/lib/python3.9/site-packages']
10:06:14.398 INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.birdseye_backend'
10:06:14.400 INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.dock_user_windows_backend'
10:06:14.403 INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.flask_backend'
10:06:14.405 INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.matplotlib_backend'
10:06:14.407 INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.pgzero_backend'
10:06:14.414 INFO    thonny: TIME/MODS 0.021 After loading plugins (+6 modules)
10:06:14.415 INFO    thonny: NEW MODS ['thonny.plugins.backend', 'thonny.plugins.backend.birdseye_backend', 'thonny.plugins.backend.dock_user_windows_backend', 'thonny.plugins.backend.flask_backend', 'thonny.plugins.backend.matplotlib_backend', 'thonny.plugins.backend.pgzero_backend']
10:06:14.416 INFO    thonny: TIME/MODS 0.001 Beginning of mainloop 
10:06:14.417 INFO    thonny: TIME/MODS 0.001 Before Run 
10:06:14.418 INFO    thonny: TIME/MODS 0.001 Starting _execute_file 
10:06:14.419 INFO    thonny: TIME/MODS 0.001 Done preprocessing 
10:06:14.419 INFO    thonny: TIME/MODS 0.000 Done creating executor 
10:06:14.419 INFO    thonny: TIME/MODS 0.000 Before preparing ast in executor 
10:06:14.458 INFO    thonny: TIME/MODS 0.039 After compiling ast in executor (+1 modules)
10:06:14.459 INFO    thonny: NEW MODS ['pgzero']
10:06:14.638 INFO    thonny: TIME/MODS 0.180 Sending message ProgramOutput (+47 modules)
10:06:14.639 INFO    thonny: NEW MODS ['__future__', '_bisect', '_datetime', '_decimal', '_random', '_sha512', '_socket', '_statistics', 'array', 'bisect', 'cmath', 'colorsys', 'colorzero', 'colorzero.attr', 'colorzero.color', 'colorzero.conversions', 'colorzero.deltae', 'colorzero.easings', 'colorzero.tables', 'colorzero.types', 'datetime', 'decimal', 'fractions', 'gpiozero', 'gpiozero.boards', 'gpiozero.compat', 'gpiozero.devices', 'gpiozero.exc', 'gpiozero.fonts', 'gpiozero.input_devices', 'gpiozero.internal_devices', 'gpiozero.mixins', 'gpiozero.output_devices', 'gpiozero.pins', 'gpiozero.pins.data', 'gpiozero.pins.pi', 'gpiozero.pins.pigpio', 'gpiozero.spi_devices', 'gpiozero.threads', 'gpiozero.tones', 'numbers', 'pigpio', 'random', 'socket', 'spidev', 'statistics', 'textwrap']
10:06:14.641 INFO    thonny: TIME/MODS 0.003 Sending message ProgramOutput 
10:06:14.669 INFO    thonny: TIME/MODS 0.028 Sending message ProgramOutput (+3 modules)
10:06:14.670 INFO    thonny: NEW MODS ['encodings.idna', 'stringprep', 'unicodedata']
10:06:14.672 INFO    thonny: TIME/MODS 0.003 Sending message ProgramOutput 
10:06:17.098 INFO    thonny: TIME/MODS 2.426 Sending message ProgramOutput 
10:06:17.100 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
10:06:17.830 INFO    thonny: TIME/MODS 0.730 Sending message ProgramOutput 
10:06:17.833 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
10:06:18.776 INFO    thonny: TIME/MODS 0.943 Sending message ProgramOutput 
10:06:18.778 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
10:06:20.857 INFO    thonny: TIME/MODS 2.079 Sending message ProgramOutput 
10:06:20.859 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
