09:10:01.769 INFO    thonny: Thonny version: 4.0.1
09:10:01.771 INFO    thonny: cwd: /home/cansat-stu
09:10:01.798 INFO    thonny: original argv: ['/usr/bin/python3', '/usr/bin/thonny']
09:10:01.799 INFO    thonny: sys.executable: /usr/bin/python3
09:10:01.800 INFO    thonny: sys.argv: ['/usr/bin/thonny']
09:10:01.800 INFO    thonny: sys.path: ['/usr/bin', '/usr/lib/python39.zip', '/usr/lib/python3.9', '/usr/lib/python3.9/lib-dynload', '/home/cansat-stu/.local/lib/python3.9/site-packages', '/usr/local/lib/python3.9/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.9/dist-packages']
09:10:01.801 INFO    thonny: sys.flags: sys.flags(debug=0, inspect=0, interactive=0, optimize=0, dont_write_bytecode=0, no_user_site=0, no_site=0, ignore_environment=0, verbose=0, bytes_warning=0, quiet=0, hash_randomization=1, isolated=0, dev_mode=False, utf8_mode=0)
09:10:04.257 WARNING thonny.workbench: Could not find UI theme 'clam', switching to default
09:10:07.272 INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
09:10:07.274 INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/cansat-stu'] /home/cansat-stu
09:11:06.911 INFO    thonny: TIME/MODS 65.162 Before Run (+166 modules)
09:11:06.919 INFO    thonny: NEW MODS ['_bisect', '_blake2', '_ctypes', '_datetime', '_hashlib', '_posixsubprocess', '_queue', '_random', '_sha512', '_socket', '_ssl', '_tkinter', 'array', 'base64', 'bisect', 'calendar', 'ctypes', 'ctypes._endian', 'datetime', 'email._encoded_words', 'email._parseaddr', 'email._policybase', 'email.base64mime', 'email.charset', 'email.encoders', 'email.errors', 'email.feedparser', 'email.header', 'email.iterators', 'email.message', 'email.parser', 'email.quoprimime', 'email.utils', 'encodings.ascii', 'faulthandler', 'gettext', 'hashlib', 'http', 'http.client', 'locale', 'math', 'pkgutil', 'platform', 'queue', 'quopri', 'random', 'runpy', 'select', 'selectors', 'shlex', 'signal', 'socket', 'ssl', 'subprocess', 'tempfile', 'textwrap', 'thonny.assistance', 'thonny.ast_utils', 'thonny.backend', 'thonny.base_file_browser', 'thonny.codeview', 'thonny.config', 'thonny.config_ui', 'thonny.editor_helpers', 'thonny.editors', 'thonny.languages', 'thonny.memory', 'thonny.misc_utils', 'thonny.plugins', 'thonny.plugins.about', 'thonny.plugins.assistant_config_page', 'thonny.plugins.ast_view', 'thonny.plugins.autocomplete', 'thonny.plugins.backend', 'thonny.plugins.backend_config_page', 'thonny.plugins.base_syntax_themes', 'thonny.plugins.base_ui_themes', 'thonny.plugins.birdseye_frontend', 'thonny.plugins.calltip', 'thonny.plugins.cells', 'thonny.plugins.circuitpython', 'thonny.plugins.circuitpython.cirpy_front', 'thonny.plugins.clean_ui_themes', 'thonny.plugins.coloring', 'thonny.plugins.commenting_indenting', 'thonny.plugins.common_editing_commands', 'thonny.plugins.cpython_backend', 'thonny.plugins.cpython_backend.cp_back', 'thonny.plugins.cpython_frontend', 'thonny.plugins.cpython_frontend.cp_front', 'thonny.plugins.cpython_ssh', 'thonny.plugins.cpython_ssh.cps_front', 'thonny.plugins.debugger', 'thonny.plugins.dock_user_windows_frontend', 'thonny.plugins.editor_config_page', 'thonny.plugins.esp', 'thonny.plugins.ev3', 'thonny.plugins.event_logging', 'thonny.plugins.event_view', 'thonny.plugins.files', 'thonny.plugins.find_replace', 'thonny.plugins.general_config_page', 'thonny.plugins.goto_definition', 'thonny.plugins.heap', 'thonny.plugins.help', 'thonny.plugins.highlight_names', 'thonny.plugins.locals_marker', 'thonny.plugins.microbit', 'thonny.plugins.micropython', 'thonny.plugins.micropython.mp_common', 'thonny.plugins.micropython.mp_front', 'thonny.plugins.micropython.uf2dialog', 'thonny.plugins.misc_analyzers', 'thonny.plugins.mypy', 'thonny.plugins.notes', 'thonny.plugins.object_inspector', 'thonny.plugins.outline', 'thonny.plugins.paren_matcher', 'thonny.plugins.pgzero_frontend', 'thonny.plugins.pi', 'thonny.plugins.pip_gui', 'thonny.plugins.prime_inventor', 'thonny.plugins.printing', 'thonny.plugins.pylint', 'thonny.plugins.pylint.messages', 'thonny.plugins.pythontutor', 'thonny.plugins.remove_old_data_dir', 'thonny.plugins.replayer', 'thonny.plugins.rp2040', 'thonny.plugins.rpi_pico', 'thonny.plugins.run_debug_config_page', 'thonny.plugins.shell_config_page', 'thonny.plugins.shell_macro', 'thonny.plugins.statement_boxes', 'thonny.plugins.stdlib_error_helpers', 'thonny.plugins.system_shell', 'thonny.plugins.terminal_config_page', 'thonny.plugins.theme_and_font_config_page', 'thonny.plugins.thonny_folders', 'thonny.plugins.todo_view', 'thonny.plugins.tomorrow_syntax_theme', 'thonny.plugins.variables', 'thonny.roughparse', 'thonny.rst_utils', 'thonny.running', 'thonny.shell', 'thonny.terminal', 'thonny.tktextext', 'thonny.token_utils', 'thonny.ui_utils', 'thonny.workbench', 'thonny.workdlg', 'tkinter', 'tkinter.commondialog', 'tkinter.constants', 'tkinter.dialog', 'tkinter.filedialog', 'tkinter.font', 'tkinter.messagebox', 'tkinter.simpledialog', 'tkinter.ttk', 'urllib.error', 'urllib.request', 'urllib.response', 'uu', 'webbrowser']
09:11:06.984 INFO    thonny: TIME/MODS 0.073 After Run 
09:11:07.017 INFO    thonny.running: Killing backend process
09:11:07.018 INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/cansat-stu/motor'] /home/cansat-stu/motor
09:11:07.029 INFO    thonny.running: Reader got EOF
09:11:07.038 INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['motor_2.py'], args_str='motor_2.py', cmd_line='%Run motor_2.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_10', local_cwd='/home/cansat-stu/motor')
09:14:27.259 INFO    thonny: TIME/MODS 200.274 Before Run 
09:14:27.305 INFO    thonny.running: Killing backend process
09:14:27.306 INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/cansat-stu/motor'] /home/cansat-stu/motor
09:14:27.320 INFO    thonny.running: Reader got EOF
09:14:27.332 INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['motor_2.py'], args_str='motor_2.py', cmd_line='%Run motor_2.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_93', local_cwd='/home/cansat-stu/motor')
09:14:27.346 INFO    thonny: TIME/MODS 0.088 After Run 
09:18:47.607 INFO    thonny: TIME/MODS 260.260 Before Run 
09:18:47.666 INFO    thonny.running: Killing backend process
09:18:47.668 INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/cansat-stu/motor'] /home/cansat-stu/motor
09:18:47.686 INFO    thonny.running: Reader got EOF
09:18:47.697 INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['motor_2.py'], args_str='motor_2.py', cmd_line='%Run motor_2.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_133', local_cwd='/home/cansat-stu/motor')
09:18:47.715 INFO    thonny: TIME/MODS 0.109 After Run 
09:21:44.735 INFO    thonny: TIME/MODS 177.020 Before Run 
09:21:44.790 INFO    thonny.running: Killing backend process
09:21:44.792 INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/cansat-stu/motor'] /home/cansat-stu/motor
09:21:44.803 INFO    thonny.running: Reader got EOF
09:21:44.811 INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['motor_2.py'], args_str='motor_2.py', cmd_line='%Run motor_2.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_134', local_cwd='/home/cansat-stu/motor')
09:21:44.822 INFO    thonny: TIME/MODS 0.087 After Run 
09:23:26.257 INFO    thonny: TIME/MODS 101.435 Before Run 
09:23:26.311 INFO    thonny.running: Killing backend process
09:23:26.314 INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/cansat-stu/motor'] /home/cansat-stu/motor
09:23:26.330 INFO    thonny.running: Reader got EOF
09:23:26.339 INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['motor_2.py'], args_str='motor_2.py', cmd_line='%Run motor_2.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_159', local_cwd='/home/cansat-stu/motor')
09:23:26.355 INFO    thonny: TIME/MODS 0.097 After Run 
09:23:56.269 INFO    thonny: TIME/MODS 29.915 Before Run 
09:23:56.331 INFO    thonny.running: Killing backend process
